feature,importance
event_data_prop_3bb91ced_duration_mean,10.9
event_data_prop_cf7638f3_duration_mean,10.9
event_data_prop_bd701df8_duration_std,10.899999999999999
event_data_prop_250513af_total_duration_sum,10.8
event_data_prop_ea321fb1_total_duration_max,10.8
event_data_prop_f6947f54_misses_std,10.8
cnt_event_code_2025_sum,10.8
event_data_prop_b74258a0_duration_max,10.8
event_data_prop_562cec5f_duration_max,10.799999999999999
event_data_prop_7f0836bf_duration_std,10.799999999999999
event_data_prop_6088b756_duration_sum,10.799999999999999
event_data_prop_9d4e7b25_duration_sum,10.799999999999999
event_data_prop_5de79a6a_total_duration_mean,10.700000000000001
event_data_prop_b012cd7f_misses_mean,10.700000000000001
event_data_prop_0d1da71f_duration_max,10.700000000000001
event_data_prop_beb0a7b9_total_duration_sum,10.7
event_data_prop_709b1251_duration_std,10.7
event_data_prop_c189aaf2_duration_std,10.7
event_data_prop_3ccd3f02_duration_std,10.7
assessment_previous_uncorrect_attempts_median,10.600000000000001
event_data_prop_56817e2b_duration_std,10.600000000000001
event_data_prop_90ea0bac_total_duration_mean,10.6
event_data_prop_3d0b9317_duration_mean,10.6
event_data_prop_9b4001e4_total_duration_std,10.6
event_data_prop_4ef8cdd3_duration_sum,10.6
event_data_prop_28a4eb9a_duration_std,10.500000000000002
event_data_prop_28a4eb9a_duration_mean,10.5
event_data_prop_6cf7d25c_total_duration_mean,10.5
event_data_prop_e57dd7af_duration_mean,10.5
event_data_prop_1af8be29_total_duration_std,10.400000000000002
event_data_prop_ca11f653_duration_std,10.4
event_data_prop_2dcad279_duration_sum,10.4
event_data_prop_b2dba42b_total_duration_max,10.4
event_data_prop_9ce586dd_duration_mean,10.4
event_data_prop_c7fe2a55_total_duration_std,10.399999999999999
event_data_prop_04df9b66_total_duration_mean,10.3
event_data_prop_0330ab6a_total_duration_max,10.3
event_data_prop_5348fd84_duration_sum,10.3
event_data_prop_022b4259_duration_max,10.3
event_data_prop_0db6d71d_duration_sum,10.3
event_data_prop_8fee50e2_duration_std,10.3
event_data_prop_5a848010_duration_std,10.3
event_data_prop_71fe8f75_duration_std,10.299999999999999
event_data_prop_907a054b_total_duration_std,10.299999999999999
cnt_Welcome to Lost Lagoon!_sum,10.299999999999999
cnt_event_code_4010_sum,10.299999999999999
event_data_prop_cb6010f8_duration_max,10.200000000000001
event_data_prop_bdf49a58_duration_sum,10.2
event_data_prop_4ef8cdd3_duration_std,10.2
event_data_prop_6088b756_duration_mean,10.2
event_data_prop_df4940d3_duration_sum,10.2
event_data_prop_38074c54_duration_std,10.1
event_data_prop_30614231_duration_sum,10.1
event_data_prop_16dffff1_duration_mean,10.1
event_data_prop_bc8f2793_duration_std,10.099999999999998
event_data_prop_bbfe0445_duration_sum,10.0
event_data_prop_5859dfb6_duration_mean,10.0
event_data_prop_a52b92d5_duration_sum,10.0
event_data_prop_2dc29e21_duration_sum,10.0
event_data_prop_0a08139c_total_duration_std,10.0
event_data_prop_53c6e11a_duration_mean,10.0
event_data_prop_69fdac0a_duration_std,10.0
event_data_prop_b5053438_duration_sum,9.999999999999998
event_data_prop_71fe8f75_duration_mean,9.9
event_data_prop_f28c589a_total_duration_std,9.9
event_data_prop_804ee27f_duration_mean,9.899999999999999
event_data_prop_9ee1c98c_duration_sum,9.8
event_data_prop_3323d7e9_misses_mean,9.8
event_data_prop_7525289a_duration_std,9.8
event_data_prop_8d7e386c_total_duration_max,9.8
event_data_prop_1f19558b_duration_std,9.8
event_data_prop_90efca10_duration_max,9.8
event_data_prop_160654fd_total_duration_std,9.799999999999999
event_data_prop_77ead60d_total_duration_mean,9.700000000000001
event_data_prop_00c73085_duration_std,9.7
event_data_prop_0413e89d_total_duration_mean,9.7
event_data_prop_3babcb9b_duration_mean,9.7
event_data_prop_de26c3a6_duration_max,9.7
event_data_prop_33505eae_total_duration_std,9.7
event_data_prop_8fee50e2_duration_sum,9.600000000000001
event_data_prop_a8876db3_total_duration_mean,9.600000000000001
event_data_prop_499edb7c_duration_sum,9.5
event_data_prop_de26c3a6_duration_sum,9.5
event_data_prop_0d1da71f_duration_sum,9.5
event_data_prop_d3f1e122_duration_sum,9.5
event_data_prop_00c73085_duration_mean,9.5
event_data_prop_e694a35b_duration_max,9.5
event_data_prop_04df9b66_total_duration_std,9.4
event_data_prop_ecaab346_duration_sum,9.4
event_data_prop_6f4adc4b_total_duration_std,9.4
event_data_prop_ad2fc29c_total_duration_std,9.4
event_data_prop_d2659ab4_duration_std,9.4
event_data_prop_4d911100_duration_mean,9.3
